IMO,Vessel_Name,AIS_Timestamp,AIS_Longtitude,AIS_Latitude,AIS_Speed_Over_Ground,AIS_Heading,AIS_Breadth_Moulded,AIS_Breadth_Extreme,AIS_Length_Overall,AIS_East,AIS_North
9411800,ARTIC JUNIOR,2020-01-26 10:38:16,8.993241666666668,63.95728999999999,11.275254839425932,224.0,11.8,0.0,68.36,6279.7473080072095,106315.14397873078
9411800,ARTIC JUNIOR,2020-01-26 10:40:58,8.985,63.94833333333333,12.923938084953203,511.0,11.8,0.0,68.36,5783.220247774328,105358.53784620762
9411800,ARTIC JUNIOR,2020-01-26 10:43:38,8.987985,63.94127833333334,9.718821544276457,152.0,11.8,0.0,68.36,5854.86810556904,104561.25421763398
9411800,ARTIC JUNIOR,2020-01-26 10:44:25,8.991596666666668,63.93897833333333,12.887937135241945,146.0,11.8,0.0,68.36,6007.1425191289745,104289.14183659943
9411800,ARTIC JUNIOR,2020-01-26 10:50:36,9.032191666666668,63.93337666666666,10.932406722826057,88.0,11.8,0.0,68.36,7931.951050818199,103480.14308260474
9411800,ARTIC JUNIOR,2020-01-26 10:54:47,9.061958333333333,63.934495,11.3477614380491,90.0,11.8,0.0,68.36,9398.126526416512,103468.10300417991
9411800,ARTIC JUNIOR,2020-01-26 10:56:45,9.076348333333334,63.93512166666667,11.683114910129223,89.0,11.8,0.0,68.36,10107.781144386156,103472.08533833643
9411800,ARTIC JUNIOR,2020-01-26 11:00:15,9.101316666666667,63.93635333333334,11.405951866707804,89.0,11.8,0.0,68.36,11340.55474524223,103495.40857278928
9411800,ARTIC JUNIOR,2020-01-26 11:02:45,9.119598333333332,63.9373,11.6988596112311,89.0,11.8,0.0,68.36,12243.59857645887,103517.77589028886
9411800,ARTIC JUNIOR,2020-01-26 11:08:47,9.163178333333333,63.93941,11.545185136570295,91.0,11.8,0.0,68.36,14394.615561461893,103555.85755273329
9411800,ARTIC JUNIOR,2020-01-26 11:10:17,9.174001666666667,63.93982666666667,11.507041036717064,91.0,11.8,0.0,68.36,14927.705447402375,103553.6196492184
9411800,ARTIC JUNIOR,2020-01-26 11:14:54,9.20777,63.94029333333334,11.625867244699846,97.0,11.8,0.0,68.36,16582.42674734589,103454.657809549
9411800,ARTIC JUNIOR,2020-01-26 11:20:26,9.247444999999999,63.939659999999996,11.398487470399962,97.0,11.8,0.0,68.36,18514.7157720112,103208.24873593917
9411800,ARTIC JUNIOR,2020-01-26 11:20:56,9.251166666666668,63.93958166666666,11.838596112311015,97.0,11.8,0.0,68.36,18695.790544487245,103183.09419190232
9264348,VETLEFJORD,2020-01-26 13:52:50,8.953333333333333,63.91166666666667,21.249640484457444,511.0,9.0,0.0,25.75,3849.331759867724,101433.49097274804
9264348,VETLEFJORD,2020-01-26 13:53:24,8.958891666666666,63.91450833333333,23.90174056663702,45.0,9.0,0.0,25.75,4151.121394930058,101723.21420070528
9264348,VETLEFJORD,2020-01-26 13:59:46,9.029768333333333,63.93758833333333,22.0114335146382,52.0,9.0,0.0,25.75,7857.476834468603,103959.01043063306
9264348,VETLEFJORD,2020-01-26 14:00:24,9.036495,63.93991833333333,21.477128566556782,53.0,9.0,0.0,25.75,8210.408696389,104186.923439865
9264348,VETLEFJORD,2020-01-26 14:05:58,9.08034,63.96724500000001,21.696517116954002,21.0,9.0,0.0,25.75,10635.188496460263,107021.71369388046
9264348,VETLEFJORD,2020-01-26 14:10:35,9.08847,63.97811666666666,8.952084584135797,354.0,9.0,0.0,25.75,11144.349460492258,108192.24970322568
9264348,VETLEFJORD,2020-01-26 14:12:00,9.088443333333334,63.97814666666667,0.0820988438571973,354.0,9.0,0.0,25.75,11143.358434116291,108195.70276509503
9264348,VETLEFJORD,2020-01-26 14:18:00,9.07789,63.96275,9.678882289416846,200.0,9.0,0.0,25.75,10469.07695564808,106533.61789741646
9264348,VETLEFJORD,2020-01-26 14:20:56,9.056973333333334,63.94922666666667,20.134749901826037,228.0,9.0,0.0,25.75,9307.544806963355,105127.01264431607
9264348,VETLEFJORD,2020-01-26 14:24:06,9.024543333333334,63.93714833333333,21.316526088439247,230.0,9.0,0.0,25.75,7597.602706488397,103934.13740532752
9264348,VETLEFJORD,2020-01-26 14:30:23,8.959983333333334,63.91460666666667,20.846711276360487,229.0,9.0,0.0,25.75,4205.53499306005,101729.0612733662
9264348,VETLEFJORD,2020-01-26 14:31:06,8.953064999999999,63.91202166666667,20.133030287809525,229.0,9.0,0.0,25.75,3839.9613407418374,101474.16198065598
9264348,VETLEFJORD,2020-01-26 19:31:43,8.902811666666668,63.90814833333334,20.745965636181943,61.0,9.0,0.0,25.75,1341.4871688552084,101278.81241976004
9264348,VETLEFJORD,2020-01-26 19:34:30,8.935554999999997,63.91486666666666,20.639426546475086,64.0,9.0,0.0,25.75,3013.913586762559,101871.66984895711
9264348,VETLEFJORD,2020-01-26 19:40:35,9.005036666666664,63.93134333333333,20.623423178200536,55.0,9.0,0.0,25.75,6583.74219819397,103379.21516221577
9264348,VETLEFJORD,2020-01-26 19:42:31,9.024781666666666,63.93791833333334,20.352001564012813,54.0,9.0,0.0,25.75,7617.287688341108,104018.55782478304
9264348,VETLEFJORD,2020-01-26 19:46:48,9.066858333333332,63.954005,20.674041734248807,41.0,9.0,0.0,25.75,9839.867669014493,105612.60114981046
9264348,VETLEFJORD,2020-01-26 19:52:39,9.08848,63.97814666666667,16.017040482915213,354.0,9.0,0.0,25.75,11145.147390694763,108195.53630770092
9264348,VETLEFJORD,2020-01-26 19:52:50,9.08848,63.97815833333333,0.22990378951502066,355.0,9.0,0.0,25.75,11145.267958880171,108196.83208621107
9264348,VETLEFJORD,2020-01-26 19:58:56,9.071378333333334,63.957875,12.806716708564956,197.0,9.0,0.0,25.75,10100.685663927812,106021.82083694078
9264348,VETLEFJORD,2020-01-26 20:00:03,9.064116666666667,63.95190333333333,21.900628606427908,215.0,9.0,0.0,25.75,9684.18580697995,105391.68533183447
9264348,VETLEFJORD,2020-01-26 20:04:57,9.00946,63.93286,22.604696522237404,231.0,9.0,0.0,25.75,6815.7750149113135,103527.26863440033
9264348,VETLEFJORD,2020-01-26 20:10:32,8.942901666666666,63.91452833333334,22.353509558041328,256.0,9.0,0.0,25.75,3369.5272000950645,101799.84492687602
9264348,VETLEFJORD,2020-01-26 20:10:58,8.937258333333334,63.91383166666667,21.50684499086227,253.0,9.0,0.0,25.75,3086.2290141368285,101748.78992996084
9264348,VETLEFJORD,2020-01-27 13:01:03,8.897445,63.92506833333334,17.657670761339094,73.0,9.0,0.0,25.75,1259.4656176764404,103182.84383597133
9264348,VETLEFJORD,2020-01-27 13:01:48,8.900251666666666,63.92548833333333,6.282678185745139,65.0,9.0,0.0,25.75,1401.1098846558598,103216.31240484492
9264348,VETLEFJORD,2020-01-27 13:07:50,8.980441666666668,63.926935,21.14325024163813,58.0,9.0,0.0,25.75,5335.503915386507,103003.26437464355
9264348,VETLEFJORD,2020-01-27 13:11:56,9.026751666666666,63.94012666666666,21.38142811989675,57.0,9.0,0.0,25.75,7736.587861802196,104254.76515426954
9264348,VETLEFJORD,2020-01-27 13:13:56,9.049276666666666,63.946915000000004,21.68679265658748,54.0,9.0,0.0,25.75,8907.61005824519,104905.45225700364
9264348,VETLEFJORD,2020-01-27 13:20:00,9.088046666666663,63.97553666666667,19.83028445636437,15.0,9.0,0.0,25.75,11097.030678567828,107907.619571276
9264348,VETLEFJORD,2020-01-27 13:22:56,9.088513333333333,63.97814,3.215185057922638,353.0,9.0,0.0,25.75,11146.704819208884,108194.64453880397
